TV Title,totaln,males_n,females_n,under_18_n,males_under_18_n,females_under_18_n,aged_18_to_29_n,males_aged_18_to_29_n,females_aged_18_to_29_n,aged_30_to_44_n,males_aged_30_to_44_n,females_aged_30_to_44_n,aged_45_n,males_aged_45_n,females_aged_45_n,imdb_staff_n,top_1000_voters_n,US_users_n,mean,males,females,under_18,males_under_18,females_under_18,aged_18_to_29,males_aged_18_to_29,females_aged_18_to_29,aged_30_to_44,males_aged_30_to_44,females_aged_30_to_44,aged_45,males_aged_45,females_aged_45,imdb_staff,top_1000_voters,US_users
Grey's Anatomy,101904,37597,54941,2538,717,1821,58141,22091,36050,22942,11286,11656,4015,1949,2066,4,277,19264,7.4,6.7,8.3,8.6,7.7,9,7.7,6.9,8.4,6.9,6.3,8,6.9,6.4,7.7,6,5,6.9
Castle,71775,38252,25471,2197,961,1236,34172,20814,13358,18380,11612,6768,5634,3183,2451,4,267,15203,8.2,8.1,8.4,8.9,8.8,9,8.3,8.2,8.5,8,7.9,8.3,8.2,8.1,8.4,6.8,6.1,8.2
Rookie Blue,9084,3781,4245,243,71,172,4073,1701,2372,2430,1334,1096,863,530,333,NA,111,2304,6.9,6.4,7.9,8.8,8.1,9,7.1,6.3,8,6.8,6.5,7.6,6.8,6.4,7.9,NA,4.4,6.3
Modern Family,134521,81478,38121,4569,2672,1897,74228,50127,24101,29395,21616,7779,5238,3544,1694,13,312,28096,8.6,8.5,8.7,8.9,8.8,8.9,8.7,8.7,8.8,8.4,8.4,8.5,8.1,8.1,8,7.5,6.6,8.6
The Middle,18669,10205,6334,907,514,393,8753,5234,3519,4574,3049,1525,1479,950,529,NA,160,5113,7,6.9,7.4,7.9,7.8,8.1,7,6.9,7.4,7,6.8,7.4,7.2,7.2,7.3,NA,4.8,7
America's Funniest Home Videos,2501,1695,635,123,90,33,1298,919,379,639,503,136,209,154,55,NA,86,1137,5.9,5.9,5.9,7.2,7,7.8,6.4,6.4,6.2,5.3,5.3,5.1,5.5,5.4,5.6,NA,5,5.9
The Bachelor,2591,1162,1108,55,23,32,1141,561,580,728,426,302,241,129,112,NA,81,1189,2.5,1.9,3.8,2.2,1.5,3.7,2.7,1.9,4.1,2.3,1.8,3.6,2.4,2,3.3,NA,2.2,2.4
The Bachelorette,2036,851,936,67,23,44,871,393,478,559,300,259,209,116,93,2,59,970,2.5,1.8,3.9,3.1,2.4,4.1,2.8,1.9,4.2,2.3,1.8,3.4,2.2,1.6,3.5,8.5,1.9,2.4
Dancing with the Stars,5712,2552,2457,134,64,70,2244,1101,1143,1660,933,727,801,412,389,1,131,3064,4.4,3.6,5.9,4.7,3.6,6.1,4.2,3.4,5.7,4.3,3.6,5.9,5,4.1,6.6,1,3.6,4.7
Wipeout,4645,3093,1131,277,173,104,2327,1694,633,1119,879,240,327,241,86,NA,75,1991,6.5,6.5,6.5,7.4,7.5,7.2,6.7,6.7,6.7,6.2,6.2,6.3,6.2,6.2,6,NA,5.1,6.7
Shark Tank,2445,1645,499,92,64,28,1022,813,209,688,541,147,230,158,72,NA,51,1140,6.8,6.8,6.6,7.3,7.2,7.4,7.1,7.2,6.9,6.5,6.6,6.2,6.1,5.8,6.8,NA,5.3,6.7
Alias,29558,17103,9050,218,120,98,13829,8470,5359,9554,6826,2728,1874,1369,505,2,300,6666,7.4,7.2,7.7,7.9,7.5,8.2,7.5,7.3,7.8,7.3,7.2,7.6,7.1,7,7.4,7.5,6.1,7.3
Birdland,11,8,1,NA,NA,NA,NA,NA,NA,5,5,NA,4,3,1,NA,5,6,6.2,6.4,9,NA,NA,NA,NA,NA,NA,5.5,5.5,NA,7.5,7,9,NA,6.2,7
Blue Thunder,427,322,54,1,1,NA,29,24,5,244,218,26,83,67,16,NA,50,134,5.9,5.9,5.6,9,9,NA,6.7,6.6,8,5.9,6,5,5.7,5.5,6.9,NA,6,5.9
Code Red,70,40,17,NA,NA,NA,3,3,NA,27,17,10,26,19,7,NA,16,41,7.2,5.7,7.9,NA,NA,NA,8.3,8.3,NA,6,5.8,6.8,6.3,5.5,8.2,NA,5.3,6.6
The Fall Guy,2254,1715,259,2,2,NA,156,132,24,1366,1225,141,381,311,70,NA,119,724,6.9,6.9,6.8,7.5,7.5,NA,6.5,6.5,6.8,7,7.1,6.9,6.5,6.5,6.5,NA,6.1,6.9
Hollywood Beat,22,17,1,NA,NA,NA,NA,NA,NA,16,15,1,2,2,NA,NA,5,4,6.6,6.4,1,NA,NA,NA,NA,NA,NA,6,6.1,1,8.5,8.5,NA,NA,4.8,4.3
Lois & Clark: The New Adventures of Superman,11470,7279,2991,65,41,24,5210,3590,1620,3955,2952,1003,811,577,234,NA,251,2803,6.5,6.5,6.8,6.2,6.1,6.5,6.7,6.6,6.9,6.3,6.2,6.8,6.8,6.8,7,NA,5.9,6.7
MacGyver,19586,14629,2988,163,135,28,7927,6712,1215,7996,6730,1266,1204,856,348,3,287,3706,7.5,7.5,7.3,8.1,8.1,8,7.7,7.8,7.1,7.4,7.5,7.3,7,6.9,7.4,7.3,6,7.4
Sable,26,18,4,NA,NA,NA,1,NA,1,14,12,2,6,6,NA,NA,7,15,7.1,7.1,4,NA,NA,NA,1,NA,1,8.7,9.1,2.5,3.8,3.8,NA,NA,6.1,7
The Young Indiana Jones Chronicles,4293,3045,785,34,26,8,1249,1031,218,2012,1590,422,421,330,91,NA,153,1124,7.1,7.1,7.3,8.4,8.3,8.4,7.3,7.3,7.3,7,7,7.4,7,7,6.9,NA,6.3,7.2
Arresting Behavior,15,7,2,NA,NA,NA,NA,NA,NA,5,3,2,4,4,NA,NA,5,9,7.7,9.7,8.5,NA,NA,NA,NA,NA,NA,8.7,8.3,8.5,9.3,9.3,NA,NA,5,9.1
The Commish,841,557,173,NA,NA,NA,107,83,24,443,356,87,167,109,58,NA,68,370,7,6.8,7.3,NA,NA,NA,6.7,6.6,7.1,7,6.9,7.5,6.8,6.7,7.1,NA,6.2,7
Cupid,905,447,429,4,1,3,452,204,248,316,182,134,90,58,32,NA,22,358,6.9,6.7,7.4,8.3,6,9,7.3,6.9,7.7,7.2,7.1,7.6,5.2,5.3,5.1,NA,5.6,6.3
Desperate Housewives,70647,31135,32490,1574,508,1066,40544,18141,22403,16753,10037,6716,2977,1830,1147,3,353,10224,7.2,6.8,7.8,8.2,7.7,8.5,7.4,7,8,6.8,6.6,7.4,6.9,6.8,7.1,7,5.4,6.5
The Greatest American Hero,2032,1453,305,3,3,NA,108,89,19,1129,961,168,468,371,97,2,122,1038,7,7,6.9,8.3,8.3,NA,4.6,4.8,3.6,7.2,7.1,7.6,6.9,6.9,6.6,8,5.7,7
Hooperman,170,110,30,NA,NA,NA,6,6,NA,71,58,13,60,46,14,NA,33,73,6.6,6.7,5.8,NA,NA,NA,3.7,3.7,NA,6.5,6.8,5.3,6.8,6.8,6.5,NA,6.5,6.8
Monk,38530,24010,11246,912,543,369,19614,13260,6354,10572,7603,2969,3270,2160,1110,4,320,12270,7.8,7.8,8,8.6,8.6,8.6,7.9,7.9,8,7.6,7.6,7.9,7.9,7.8,8.1,6.3,6.3,8.1
Moonlighting,9272,5781,2449,29,22,7,1898,1193,705,4587,3390,1197,1497,1069,428,1,263,2171,7.5,7.5,7.5,7.8,7.5,9.2,7.3,7.3,7.2,7.5,7.5,7.5,7.5,7.4,7.6,8,6.2,7.2
Private Practice,13708,3740,8797,225,42,183,7506,1943,5563,3538,1311,2227,813,357,456,NA,146,2929,6.1,5.3,6.9,7.2,5.7,7.7,6.4,5.5,6.9,5.9,5.2,7,6,5.5,6.9,NA,4.1,5.6
Pushing Daisies,33331,16326,14900,398,122,276,17937,8406,9531,9789,6008,3781,2416,1586,830,1,251,12754,8.2,8.1,8.5,8.5,8.1,8.6,8.4,8.3,8.6,8.1,8,8.3,7.9,7.8,8.1,7,6.4,8.5
Snoops,149,81,46,NA,NA,NA,39,21,18,59,39,20,27,21,6,NA,23,52,6.1,6.3,5.9,NA,NA,NA,7.3,7.1,7.7,6.2,6.1,6.3,5.4,5.9,1.9,NA,5.1,5.4
Ugly Betty,29125,11797,15375,748,224,524,16977,6670,10307,7185,3792,3393,1608,921,687,3,222,7163,6.2,5.6,7.1,7.1,6.3,7.5,6.3,5.5,7.1,5.9,5.4,6.9,6.5,6.3,7.2,6.3,4.4,6.5
The Wonder Years,20384,13416,4772,92,62,30,7371,5210,2161,8700,6747,1953,1543,1160,383,2,265,8870,8.2,8.2,8.1,8.3,8.2,8.4,8.3,8.4,8.1,8.2,8.2,8.1,8,8,7.9,7.5,6.3,8.3
10-8: Officers on Duty,172,125,20,NA,NA,NA,53,49,4,64,54,10,27,21,6,NA,21,55,6.4,6.7,5.2,NA,NA,NA,7.5,7.8,6.5,5.9,6.1,5,6.5,6.8,5.1,NA,5.2,6.6
B.A.D. Cats,25,15,4,NA,NA,NA,2,1,1,9,7,2,8,7,1,NA,9,5,5.8,5.3,7.8,NA,NA,NA,10,10,10,3.8,4.4,5.5,5.1,5.1,10,NA,5.1,6.4
B.L. Stryker,128,92,17,NA,NA,NA,9,5,4,50,45,5,49,41,8,NA,23,51,5.9,5.8,6,NA,NA,NA,6.5,7.6,6.8,5.7,5.6,7,5.9,5.9,5.6,NA,5.3,6
Blind Justice,321,183,101,NA,NA,NA,105,65,40,133,91,42,44,27,17,NA,22,93,5.7,5.7,6.6,NA,NA,NA,5.8,5.5,6.4,6,5.8,7.1,5.7,5.7,6.1,NA,4.3,6.3
Big Shots,1378,726,521,1,1,NA,600,371,229,512,295,217,114,58,56,NA,27,570,6.9,6.8,7.6,10,10,NA,7.6,7.6,7.7,6.7,6.3,7.7,6.4,6.1,7.1,NA,4.6,7.1
Boston Legal,24564,16878,5673,157,96,61,11731,8943,2788,7708,5894,1814,2393,1646,747,3,222,5258,8.2,8.2,8.1,8.2,8.1,8.2,8.4,8.4,8.2,8.1,8.1,8.1,8,8,8.2,8.3,5.8,7.7
Brothers & Sisters,15480,6184,8143,133,36,97,7663,3071,4592,4759,2255,2504,1367,690,677,2,156,3993,6.8,6.6,7.3,7.4,6.6,7.9,7,6.7,7.3,6.7,6.3,7.3,6.9,6.8,7.1,6,4.9,6.6
Cashmere Mafia,2166,648,1398,6,1,5,1160,309,851,703,252,451,136,77,59,NA,39,651,6.2,5.6,6.8,3.8,3,4.5,6.7,6,7.2,5.9,5.4,6.4,5.6,5.3,6.1,NA,4.8,6
Charlie Grace,44,22,17,1,NA,1,7,3,4,20,14,6,10,5,5,NA,6,12,7.7,7.2,6,10,NA,10,9,9.3,8.5,6.9,7.1,6,6.7,6.7,6.9,NA,4.7,7
China Beach,1344,670,472,4,1,3,103,68,35,528,304,224,471,285,186,1,65,655,7.8,7.7,8.3,9.5,9,9.7,6.2,6.5,5.5,7.8,7.6,8.3,8.2,7.9,8.9,8,6.7,7.8
The Colbys,348,212,85,NA,NA,NA,36,30,6,162,119,43,90,59,31,NA,45,93,5.8,5.9,5.8,NA,NA,NA,6.5,6.5,5.8,5.6,5.7,5.3,6.1,6.1,6.2,NA,5.4,6.4
Commander in Chief,2689,1609,726,4,2,2,843,539,304,895,670,225,540,380,160,NA,81,831,6.4,6.2,7.2,7.8,5.5,10,6.4,6.2,7.2,6.2,6,7,6.8,6.6,7.4,NA,5.4,6.6
Cop Rock,286,185,60,1,1,NA,41,30,11,88,68,20,104,81,23,NA,31,176,4,4,4.3,1,1,NA,4,3.9,4.4,2.9,3,2.5,5.2,5,5.8,NA,3.8,4.2
The Days,227,57,137,3,NA,3,132,31,101,38,13,25,20,13,7,NA,15,138,6.8,6.8,7.7,9.3,NA,9.3,7.3,6.5,8.1,7.7,7.7,7.7,6.1,6.6,4.5,NA,4.4,7
Dangerous Minds,65,32,25,NA,NA,NA,18,14,4,28,12,16,9,6,3,NA,7,27,6.5,4.7,6.4,NA,NA,NA,5.1,4.1,8.3,6.6,6.5,6.6,4.6,5.1,3,NA,3.2,5.6
Day Break,5922,4535,721,18,14,4,2525,2253,272,2193,1896,297,422,331,91,1,133,1410,7.6,7.9,6.8,6.2,5.6,7.8,7.6,7.8,6.2,8,8,7.2,7.4,7.5,6.8,8,5,6.8
The Deep End,630,298,260,2,1,1,291,143,148,180,104,76,74,46,28,NA,28,351,6.6,6.3,7.5,10,10,10,7.2,6.7,7.9,6.3,6.1,6.9,6.4,5.9,7.9,NA,5.2,6.9
Detroit 1-8-7,2556,1643,711,11,8,3,678,507,171,997,717,280,603,379,224,NA,52,1189,7.3,7.2,8,9.3,9.2,9.3,7.1,7,7.8,7.3,7.1,7.9,7.7,7.5,8.3,NA,6.1,7.7
Dirty Sexy Money,9426,5328,3585,52,22,30,4737,2760,1977,3185,2032,1153,742,439,303,1,141,2298,7,6.9,7.2,7.4,7.1,7.6,7.2,7.1,7.3,6.9,6.8,7.3,6.7,6.6,6.8,7,5.2,6.8
Eastwick,6578,2593,3423,112,29,83,3125,1144,1981,2101,1037,1064,544,328,216,NA,98,1789,6.2,5.8,6.8,6.6,3.8,7.8,6.3,5.9,6.7,6.1,5.6,6.9,6,5.7,6.7,NA,5,6.1
The Evidence,126,65,41,NA,NA,NA,28,21,7,51,31,20,26,13,13,NA,15,57,6.4,6.4,6.9,NA,NA,NA,8.6,8.5,8.8,6.6,6.2,7.6,5.8,5.7,5.6,NA,5.2,6.3
Eyes,319,178,97,NA,NA,NA,67,43,24,139,100,39,62,33,29,NA,27,139,7.1,7.1,7.3,NA,NA,NA,6.8,6.8,6.9,7.5,7.4,8,6.8,6.8,7,NA,5.4,7.5
Finder of Lost Loves,51,22,17,NA,NA,NA,NA,NA,NA,16,7,9,23,15,8,NA,21,26,6.4,6,4,NA,NA,NA,NA,NA,NA,4.8,5.6,3.4,5.7,6.1,4.5,NA,6,5.9
FlashForward,45114,31805,9525,485,335,150,23511,18147,5364,14027,11051,2976,2437,1772,665,4,260,7227,7.4,7.4,7.6,8.3,8.4,8.1,7.6,7.6,7.7,7.3,7.2,7.4,7.4,7.3,7.7,7.3,6,7
The Forgotten,1767,1033,638,9,2,7,588,359,229,734,479,255,302,182,120,NA,61,599,6.3,6.1,6.9,8.5,9.5,8.3,6.2,5.9,7,6.3,6.1,6.8,6.5,6.3,7,NA,5.4,6.6
Gideon's Crossing,106,63,28,NA,NA,NA,15,11,4,44,32,12,29,20,9,NA,15,60,6.7,6.8,7.9,NA,NA,NA,4.5,4.1,7.5,7.8,7.4,8.5,7.3,7.3,7,NA,4.5,6.7
Happy Town,2570,1546,796,16,6,10,1041,655,386,977,687,290,263,181,82,NA,79,875,6.8,6.8,7.3,6.9,6.2,7.5,6.9,6.9,7.2,6.8,6.7,7.2,7,6.8,7.8,NA,6,7
Hardcastle and McCormick,756,531,127,NA,NA,NA,42,34,8,404,345,59,187,136,51,NA,78,300,6.3,6.3,6.5,NA,NA,NA,6.2,6.1,6.9,6.4,6.3,6.6,6.3,6.3,6.6,NA,6.1,6.6
Heart of the City,25,18,3,NA,NA,NA,5,5,NA,9,7,2,7,6,1,NA,5,6,7.2,5.4,10,NA,NA,NA,4.3,4.3,NA,7.2,7.1,10,5.4,5.3,10,NA,4.1,6.5
In Justice,483,239,203,NA,NA,NA,154,91,63,186,106,80,92,41,51,NA,34,163,7,7.2,7.4,NA,NA,NA,7.7,7.6,8,7.1,7,7.4,7,6.9,7.3,NA,5.1,7.3
The Gates,5442,2558,2522,83,18,65,2486,1127,1359,1845,1039,806,534,329,205,1,77,1601,6.9,6.8,7.3,8.5,7,8.9,7.2,7,7.3,6.7,6.6,7.2,6.8,6.7,7.3,7,5.8,6.9
Karen Sisco,594,306,229,1,1,NA,198,90,108,220,146,74,103,66,37,NA,47,195,6.9,6.7,7.7,10,10,NA,6.9,6.5,8,6.6,6.5,7.2,7.3,7.2,7.7,NA,6,7
Kingdom Hospital,5124,2981,1464,12,8,4,1647,1044,603,2191,1548,643,525,361,164,1,152,1444,6.5,6.5,6.9,6.3,5.9,9,6.8,6.6,7.1,6.4,6.3,6.8,6.7,6.7,6.5,5,5.6,6.3
